project_slug,floor_slug,slug,code,rooms,type,status,totalNP,totalNKP,floorPlanImage,pdfFile,positionImage
city-garden-lamela-4,prizemlje,l4-stan-03,S03,3-sobni,Stan,slobodno,53.33,53.33,/images/projekti/city-garden-lamela-4/stanovi/s03.jpg,/pdfs/l4-s03.pdf,/images/projekti/city-garden-lamela-4/stanovi/s03-pozicija.jpg
city-garden-lamela-4,prizemlje,l4-stan-04,S04,3-sobni,Stan,slobodno,49.34,49.34,/images/projekti/city-garden-lamela-4/stanovi/s04.jpg,/pdfs/l4-s04.pdf,/images/projekti/city-garden-lamela-4/stanovi/s04-pozicija.jpg
city-garden-lamela-4,prizemlje,l4-stan-05,S05,2-sobni,Stan,slobodno,34.48,34.48,/images/projekti/city-garden-lamela-4/stanovi/s05.jpg,/pdfs/l4-s05.pdf,/images/projekti/city-garden-lamela-4/stanovi/s05-pozicija.jpg
city-garden-lamela-4,sprat-1,l4-stan-06,S06,2-sobni,Stan,slobodno,44.25,47.39,/images/projekti/city-garden-lamela-4/stanovi/s06.jpg,/pdfs/l4-s06.pdf,/images/projekti/city-garden-lamela-4/stanovi/s06-pozicija.jpg
city-garden-lamela-4,sprat-2,l4-stan-13,S13,2-sobni,Stan,slobodno,44.25,47.39,/images/projekti/city-garden-lamela-4/stanovi/s06.jpg,/pdfs/l4-s06.pdf,/images/projekti/city-garden-lamela-4/stanovi/s06-pozicija.jpg
city-garden-lamela-4,sprat-3,l4-stan-20,S20,2-sobni,Stan,slobodno,44.25,47.39,/images/projekti/city-garden-lamela-4/stanovi/s06.jpg,/pdfs/l4-s06.pdf,/images/projekti/city-garden-lamela-4/stanovi/s06-pozicija.jpg
city-garden-lamela-4,sprat-4,l4-stan-27,S27,2-sobni,Stan,slobodno,44.25,47.39,/images/projekti/city-garden-lamela-4/stanovi/s06.jpg,/pdfs/l4-s06.pdf,/images/projekti/city-garden-lamela-4/stanovi/s06-pozicija.jpg
city-garden-lamela-4,sprat-5,l4-stan-33,S33,2-sobni,Stan,slobodno,44.25,47.39,/images/projekti/city-garden-lamela-4/stanovi/s06.jpg,/pdfs/l4-s06.pdf,/images/projekti/city-garden-lamela-4/stanovi/s06-pozicija.jpg
city-garden-lamela-4,sprat-6,l4-stan-39,S39,2-sobni,Stan,slobodno,44.25,47.39,/images/projekti/city-garden-lamela-4/stanovi/s06.jpg,/pdfs/l4-s06.pdf,/images/projekti/city-garden-lamela-4/stanovi/s06-pozicija.jpg
city-garden-lamela-4,sprat-7,l4-stan-44,S44,2-sobni,Stan,slobodno,44.25,47.39,/images/projekti/city-garden-lamela-4/stanovi/s06.jpg,/pdfs/l4-s06.pdf,/images/projekti/city-garden-lamela-4/stanovi/s06-pozicija.jpg
city-garden-lamela-4,sprat-1,l4-stan-07,S07,2-sobni,Stan,slobodno,38.28,41.45,/images/projekti/city-garden-lamela-4/stanovi/s07.jpg,/pdfs/l4-s07.pdf,/images/projekti/city-garden-lamela-4/stanovi/s07-pozicija.jpg
city-garden-lamela-4,sprat-2,l4-stan-14,S14,2-sobni,Stan,slobodno,38.28,41.45,/images/projekti/city-garden-lamela-4/stanovi/s07.jpg,/pdfs/l4-s07.pdf,/images/projekti/city-garden-lamela-4/stanovi/s07-pozicija.jpg
city-garden-lamela-4,sprat-3,l4-stan-21,S21,2-sobni,Stan,slobodno,38.28,41.45,/images/projekti/city-garden-lamela-4/stanovi/s07.jpg,/pdfs/l4-s07.pdf,/images/projekti/city-garden-lamela-4/stanovi/s07-pozicija.jpg
